,completeness,number_of_cds,type,length
MarDB_GCA_003448685.1_ASM344868v1,91.72,4639,MAG,4649452
MarDB_GCF_003390375.1_ASM339037v1,99.62,3783,WGS,4373884
MarDB_Photobacterium_iliopiscarium,97.45,4252,WGS,4262180
MarDB_Bacteroidetes_bacterium_strain_DOLZORAL124_46_22,95.16,1890,MAG,2328254
MAGsDB_TARA_MED_MAG_00086,88.33,3226,MAG,3341961
MarDB_Prochlorococcus_sp_scB243_495L20,97.74,1886,SAG,1569355
MarDB_Colwellia_sp_UCD-KL20,99.33,3889,WGS,4529917
MarDB_Tranquillimonas_alkanivorans_strain_DSM_19547,99.7,4467,WGS,4543021
MAGsDB_TARA_ANW_MAG_00009,98.97,4489,MAG,5050254
MarDB_Vibrio_jasicida_NCCB_100079,99.73,5381,WGS,5988435
MarDB_bacterium_symbiont_of_Melanocetus_johnsonii,89.87,2592,WGS,2645619
MarDB_Hippea_alviniae,98.77,1767,WGS,1749387
MarDB_Halomonas_hydrothermalis_MTCC_5445,100.0,3484,WGS,3842330
MarDB_Acidobacteria_bacterium_strain_SZUA-115,94.44,4751,MAG,4991115
MarDB_Cloacimonetes_bacterium_TCS62,87.16,1403,MAG,1411173
MAGsDB_DAXQ01,79.6,1093,MAG,1098328
MarDB_Streptomyces_nanshensis_strain_SCSIO_M10372,97.99,8964,WGS,10271614
MarDB_Moritella_sp_PE36,97.12,4674,WGS,5223089
MAGsDB_DADW01,80.53,1627,MAG,1891970
MarDB_Sulfurovum_sp_strain_NORP62,91.19,2025,MAG,1941892
MAGsDB_DBBK01,87.0,3770,MAG,3626316
MAGsDB_TARA_ANE_MAG_00015,88.45,1539,MAG,1459822
MarDB_Vibrio_rumoiensis_1S-45,95.87,3098,WGS,3446939
MarDB_Psychroserpens_sp_Hel_I_66,99.67,3429,WGS,3842991
ProGenomes_760192_PRJNA48289,99.49,6617,WGS,8371686
MarDB_Marinobacter_zhejiangensis_strain_CGMCC_17061,99.89,3670,WGS,4029257
MarDB_GCF_003335485.1_ASM333548v1,98.78,5820,WGS,7124707
MarDB_GCA_003527965.1_ASM352796v1,88.65,2403,MAG,2558836
MAGsDB_DEZT01,91.88,2002,MAG,1886189
MAGsDB_DCCC01,98.82,4222,MAG,4857533
MarDB_Tenacibaculum_ovolyticum,99.33,3693,WGS,4124463
MAGsDB_TARA_PSE_MAG_00010,98.73,4293,MAG,4593238
MarDB_Pseudoalteromonas_piscicida_ATCC_15057,100.0,4670,WGS,5277110
MAGsDB_TARA_PON_MAG_00002,97.64,1627,MAG,1772523
MAGsDB_DBHR01,89.77,2326,MAG,2537840
MarDB_Cryomorphaceae_bacterium_BACL7_MAG-121220-bin8,87.13,1632,MAG,1480519
MarDB_Vibrio_astriarenae,93.38,7523,WGS,5408544
MAGsDB_DENU01,83.04,1754,MAG,1869931
MarDB_Rhodobacteraceae_bacterium_BH-SD16,99.39,3303,WGS,3436448
MarDB_Methylophaga_thiooxydans_L4,100.0,2527,WGS,2589654
MarDB_Algoriphagus_machipongonensis,99.62,4029,WGS,4787725
MAGsDB_PBAU01,89.5,1232,MAG,1264697
MarDB_Rhizobiales_bacterium_strain_NORP94,84.13,3027,MAG,3083653
MarDB_Streptomyces_sp_WZ_A104,99.72,7346,WGS,8116078
MarRef_Rhodobacter_sphaeroides_strain_MBTLJ-13,99.39,4405,WGS,4649055
MarDB_Psychrobacter_sp_TB67,99.73,3046,WGS,3585632
MarDB_GCF_003626755.1_ASM362675v1,99.61,5144,WGS,5908984
MarDB_Spirochaetales_bacterium_strain_SZUA-6,82.0,3043,MAG,2982119
MarDB_Crocosphaera_watsonii_WH_8501,99.74,6794,WGS,6238157
MarRef_Synechococcus_sp_CC9902,99.46,2461,WGS,2234829
MarDB_GCF_003254465.1_ASM325446v1,99.7,4548,WGS,4597081
MAGsDB_PBGD01,79.34,1241,MAG,1343137
MarDB_Sulfitobacter_noctilucicola,99.36,3989,WGS,4085977
MAGsDB_DBAN01,97.12,3008,MAG,3571133
MAGsDB_PBLI01,88.58,3106,MAG,4161290
MarRef_Serratia_marcescens2,99.81,4842,WGS,5240788
MarDB_Desulfovibrio_africanus_Walvis_Bay,100.0,3785,WGS,4200535
MarDB_GCF_003626645.1_ASM362664v1,99.64,7182,WGS,8230626
MAGsDB_PBDS01,89.02,2996,MAG,3203335
MarDB_GCA_003645825.1_ASM364582v1,82.42,2060,MAG,2127645
MarRef_Shewanella_violacea_DSS12,99.84,4087,WGS,4962104
MarDB_Bacillus_sp_MUM_116,98.29,5628,WGS,5720396
MarDB_GCF_003609595.1_ASM360959v1,97.87,2354,WGS,2478486
MAGsDB_TARA_MED_MAG_00050,81.02,1629,MAG,1396903
MarDB_SAR86_cluster_bacterium_strain_NORP66,90.93,3706,MAG,3863648
MarDB_Leptolyngbya_sp_PCC_7375,99.73,8518,WGS,9422969
MAGsDB_DFBN01,85.31,1552,MAG,1576171
MarDB_Proteobacteria_bacterium_strain_SZUA-204,91.88,2135,MAG,2086631
MAGsDB_TARA_ASW_MAG_00008,95.65,3691,MAG,3571655
MarDB_GCF_003326695.1_ASM332669v1,100.0,4139,WGS,4493406
MarDB_Hellea_balneolensis,99.35,3042,WGS,3208824
MarDB_Rhodobacteraceae_bacterium_AsT-22,98.95,4268,WGS,4398588
MarRef_Photobacterium_gaetbulicola_Gung47,98.91,5213,WGS,5909414
MarDB_Candidatus_Kaiserbacteria_bacterium_strain_NORP88,84.77,769,MAG,733271
MarDB_Cellvibrionales_bacterium_UBA5860,91.91,2925,MAG,3124921
ProGenomes_377431_PRJNA16644,95.66,2363,WGS,2538957
MarDB_Gammaproteobacteria_bacterium_strain_SZUA-21,88.03,3915,MAG,3887533
MAGsDB_PAIY01,83.11,5140,MAG,6416023
MarDB_Octadecabacter_antarcticus_307,99.39,5307,WGS,4875482
MarDB_Aquimarina_sp_Aq78_strain_Aquimarina_sp_strain_Aq78_assembly02,99.62,5157,WGS,5969234
MarDB_Ornithinibacillus_scapharcae,99.34,3988,WGS,3843871
MAGsDB_DDJT01,79.59,1555,MAG,1546674
MAGsDB_NHDS01,82.97,1762,MAG,1689873
MAGsDB_TARA_RED_MAG_00055,79.6,1560,MAG,1823078
MarDB_Bacteroidetes_bacterium_strain_SZUA-524,93.81,2930,MAG,3466989
ProGenomes_675812_PRJNA40495,100.0,3586,WGS,4002786
MarDB_marine_actinobacterium_MedAcidiG2B,83.76,1435,WGS,1441182
MarDB_GCA_003663525.1_ASM366352v1,86.88,1913,MAG,1623465
MarDB_Pseudoalteromonas_arabiensis_JCM_17292,100.0,4011,WGS,4459112
MAGsDB_PATC01,77.69,1414,MAG,1700864
MarDB_Phaeobacter_arcticus,99.82,4813,WGS,5049235
MAGsDB_PASP01,93.9,3701,MAG,3963517
ProGenomes_269084_PRJNA13282,99.73,2691,WGS,2696255
MarDB_GCF_003789055.1_ASM378905v1,99.33,4107,WGS,4353039
MAGsDB_DJHS01,85.14,3065,MAG,3430595
MarDB_Oceanibaculum_pacificum,93.04,3658,WGS,3891435
MarDB_Lutibacter_sp_strain_NORP37,96.31,2512,MAG,2706449
MarDB_Jannaschia_donghaensis_CECT_7802,98.54,3508,WGS,3487000
MarDB_Bacteroidales_bacterium_strain_SZUA-587,79.55,2410,MAG,2730986
MarRef_Oceanobacillus_iheyensis_HTE831,99.33,3554,WGS,3630529
MarDB_Fulvivirga_imtechensis_AK7,100.0,5754,WGS,6737865
MarDB_Cribrihabitans_marinus_strain_DSM_29340,100.0,4014,WGS,4175923
MarDB_GCA_003447535.1_ASM344753v1,77.5,1867,MAG,1918915
MarDB_GCF_900473925.1_N5,100.0,2417,WGS,2089511
ProGenomes_1378080_PRJNA213352,82.65,1338,WGS,1180338
MAGsDB_TARA_ASE_MAG_00002,93.3,3338,MAG,3666930
MAGsDB_NZUN01,85.84,3675,MAG,3981412
MAGsDB_DEXD01,100.0,2891,MAG,3253709
MarDB_Phyllobacteriaceae_bacterium_X9-2-2,99.55,4796,WGS,5066330
MarDB_Geitlerinema_sp_BBD_1991-9,99.76,4987,MAG,5982965
MarDB_Micromonospora_wenchangensis_CCTCC_AA_2012002,100.0,6545,WGS,7513761
MarDB_Nitrospirae_bacterium_strain_SZUA-350,92.31,2735,MAG,2708663
MAGsDB_DLTU01,78.98,1696,MAG,1566901
MarRef_Wenzhouxiangella_marina_strain_KCTC_42284,99.64,3067,WGS,3675203
MarDB_Cryomorphaceae_bacterium_ASP1005a,91.47,2475,WGS,2891733
MarDB_gamma_proteobacterium_SCGC_AB-629-P17,75.73,1461,SAG,1424092
MAGsDB_DFMJ01,97.55,3361,MAG,3452109
MarDB_Holospora_undulata_HU1,88.71,1325,WGS,1402637
MarDB_Methyloversatilis_universalis_1,99.59,3647,WGS,4088572
MarDB_Desulfacinum_infernum_DSM_9756,100.0,3717,WGS,4239824
MarDB_Lentisphaeria_bacterium_UBA2565,87.18,2789,MAG,3323079
MAGsDB_NZEC01,84.03,968,MAG,864511
MAGsDB_TARA_MED_MAG_00094,79.35,1514,MAG,1502839
MarDB_Marinosulfonomonas_sp_strain_NORP110,78.41,3003,MAG,2895905
MarDB_Nitrospina_sp_LS_NOB,96.53,2735,WGS,2647748
MarDB_Anaerolineales_bacterium_UBA6055,93.33,7517,MAG,8509053
MAGsDB_PBWH01,86.81,5267,MAG,5422662
MarDB_Pelagibacteraceae_bacterium_AG-390-A23,84.46,1175,SAG,1066407
MarDB_Oceanicola_sp_MCTG156_1a,100.0,3848,WGS,3881123
MAGsDB_PALG01,98.35,2848,MAG,3046076
MarRef_Bacterioplanes_sanyensis_NV9,99.05,3885,WGS,4293726
MarDB_Synechococcus_sp_WH_8109,99.46,2407,WGS,2111516
MAGsDB_PBJG01,82.18,1191,MAG,1146920
MarDB_Balneola_sp_EhC07,99.72,3146,WGS,3624231
MarDB_Geothermobacter_sp_HR-1,98.71,3398,WGS,3842851
MarDB_Oceanimonas_baumannii_ATCC_700832,100.0,3597,WGS,3809332
MAGsDB_DCRT01,86.77,2736,MAG,2648265
MarDB_GCF_003667275.1_ASM366727v1,98.81,3069,WGS,3281196
MAGsDB_DGPY01,90.5,2237,MAG,2551365
MarDB_Prochlorococcus_sp_AG-402-K14,84.51,1893,SAG,1649700
MarDB_Rhodococcus_marinonascens_NBRC_14363,99.37,4793,WGS,4924408
MarDB_Pseudooctadecabacter_jejudonensis_CECT_8397,99.37,3360,WGS,3412627
MarDB_Salegentibacter_mishustinae_strain_DSM_23404_1,99.43,3420,WGS,3821969
MarDB_GCA_003331225.1_ASM333122v1,88.18,2113,MAG,1833828
MarDB_Pseudacidovorax_intermedius_NH-1_pure_culture,98.01,6687,WGS,5691277
MAGsDB_DJBQ01,81.53,2902,MAG,2755094
MarDB_Deltaproteobacteria_bacterium_strain_DOLJORAL78_53_22,89.03,2107,MAG,2426851
MarDB_Gammaproteobacteria_bacterium_strain_SZUA-467,98.24,3795,MAG,4580717
MarDB_Prochlorococcus_sp_AG-418-F08,84.89,1529,SAG,1323692
MarDB_Catenovulum_agarivorans_DS-2,95.13,3877,WGS,4572426
MarDB_Glaciecola_sp_33A,99.24,3901,WGS,4517900
MAGsDB_DDMK01,79.42,1193,MAG,1038509
MarDB_GCA_003604315.1_ASM360431v1,89.49,1488,MAG,1310867
MAGsDB_TARA_PSE_MAG_00077,98.96,2760,MAG,2765508
MAGsDB_TARA_IOS_MAG_00060,87.62,3108,MAG,2848082
MAGsDB_TARA_MED_MAG_00126,77.92,2287,MAG,2462032
MAGsDB_DIAL01,87.48,3484,MAG,3403302
MarDB_Epsilonproteobacteria_bacterium_tcs-49,98.95,2209,WGS,2221310
MarDB_Nitrospirae_bacterium_strain_SZUA-93,76.53,2178,MAG,1892211
MAGsDB_NZCC01,79.43,2461,MAG,2605961
MAGsDB_PALM01,98.92,2652,MAG,3018417
MarDB_Yangia_sp_SAOS_153D,88.9,5176,WGS,4897831
MarDB_Gammaproteobacteria_bacterium_LS_SOB,95.39,2572,WGS,2694031
MarRef_Celeribacter_baekdonensis_LH4_MMP08792291,98.03,4546,WGS,4437368
MarDB_Bacillus_sp_JCM_19045,97.0,5549,WGS,4314924
MarDB_Alcanivorax_sp_strain_NORP25,96.72,3366,MAG,3596023
MAGsDB_TARA_ION_MAG_00006,86.56,1313,MAG,1398014
MarDB_GCF_003413745.1_ASM341374v1,99.24,3010,WGS,3303244
MarDB_Roseobacter_sp_MED193,100.0,4463,WGS,4674071
MarDB_Salipaludibacillus_neizhouensis_strain_DSM_19794,99.34,5087,WGS,5511086
MarDB_GCA_003648625.1_ASM364862v1,91.11,2703,MAG,2885353
MarDB_GCA_003644575.1_ASM364457v1,78.02,1765,MAG,1834769
MarRef_Tateyamaria_omphalii_DOK1-4,99.25,4279,WGS,4315457
MarDB_Vibrio_splendidus_strain_UCD-FRSSP16_15,99.87,4643,WGS,5373979
MarDB_GCA_003512825.1_ASM351282v1,89.84,3143,MAG,3007769
MarDB_Zunongwangia_atlantica_22II14-10F7,99.62,4116,WGS,4780723
MarDB_Gammaproteobacteria_bacterium_strain_SZUA-116,79.82,2369,MAG,2297233
MarDB_Roseovarius_indicus_strain_DSM_26383,99.1,5914,WGS,6099331
MAGsDB_DGBH01,79.21,2216,MAG,2175398
MarDB_Halomonas_axialensis_ACH-L-8,100.0,3512,WGS,3617177
MarDB_Flavobacteriales_bacterium_UBA3431,93.3,1549,MAG,1674597
MarDB_Prochlorococcus_sp_MIT_0701,100.0,2709,WGS,2592572
MarDB_Salinicola_salarius_1A01339,98.49,3891,WGS,4285575
MarDB_Vulcanibacillus_modesticaldus_strain_BR,82.81,2313,WGS,2224342
MarDB_Caloranaerobacter_azorensis_H53214,98.6,2416,WGS,2423899
MAGsDB_PBID01,92.83,1356,MAG,1403377
MAGsDB_TARA_PSW_MAG_00089,77.48,2183,MAG,2103552
MarDB_Prochlorococcus_sp_AG-347-I21,93.21,1825,SAG,1557900
MarDB_Pseudooceanicola_nitratireducens_strain_DSM_29619,99.07,3845,WGS,4068973
MarDB_Ruegeria_halocynthiae_MOLA_R1_13b,99.25,4214,WGS,4314498
MAGsDB_DHXI01,99.3,3438,MAG,3745325
MarDB_Lentisphaerae_bacterium_strain_SZUA-371,78.38,2866,MAG,3211598
MarDB_Idiomarina_zobellii,99.66,2550,WGS,2618935
MarDB_Micromonospora_rifamycinica,99.47,6018,WGS,6848545
MarDB_miscellaneous_Crenarchaeota_group-6_archaeon_AD8-1,95.79,1735,MAG,1583814
MarDB_Rhodobacterales_bacterium_strain_DOLJORAL78_59_82,91.73,2554,MAG,2579429
MarDB_GCF_003626795.1_ASM362679v1,100.0,3800,WGS,4437258
MAGsDB_DEIK01,96.64,3388,MAG,3197922
MAGsDB_TARA_ASW_MAG_00001,94.75,2085,MAG,2270481
MarDB_Arcobacter_sp_strain_SZUA-449,93.09,3017,MAG,3023535
MarDB_Aliivibrio_sp_1S175,99.91,3863,WGS,4320256
MarRef_Vibrio_campbellii_1114GL,100.0,5001,WGS,5634111
MAGsDB_DGAZ01,91.25,1277,MAG,1162842
MarRef_Rhodoferax_ferrireducens_T118,99.8,4580,WGS,4969785
MAGsDB_TARA_PSW_MAG_00058,81.42,4112,MAG,4643332
MarDB_Paraferrimonas_sedimenticola_NBRC_101628,99.46,3465,WGS,3802234
MarDB_Nitrospirae_bacterium_strain_SZUA-312,76.65,2866,MAG,2689567
MarDB_Marinobacter_bohaiensis_strain_T17,99.99,4245,WGS,4755891
MAGsDB_DCYM01,86.56,2566,MAG,2415704
MarDB_GCF_003314975.1_ASM331497v1,100.0,3541,WGS,3765697
MAGsDB_PBPR01,82.36,1207,MAG,1244678
MarDB_Haloferax_mucosum_ATCC_BAA-1512,99.36,3454,WGS,3368983
MarRef_Formosa_sp_Hel1_33_131,97.69,2566,WGS,2735159
MarDB_GCA_003635195.1_ASM363519v1,96.54,5501,MAG,6449573
MarDB_Sulfitobacter_sp_20_GPM-1509m,99.68,4581,WGS,4740411
MarDB_GCF_003664995.1_BH458_6_3_2_1_CLC_assembly,99.84,2830,WGS,3234409
MAGsDB_DGOX01,97.12,4420,MAG,4690549
MarDB_Maribacter_forsetii,99.67,3861,WGS,4514367
MAGsDB_NZBM01,84.77,627,MAG,591505
MAGsDB_NZUX01,84.62,1431,MAG,1525208
MarDB_Prochlorococcus_sp_scB243_498B22,91.98,1832,SAG,1476136
MarDB_Bacteroidetes_bacterium_strain_SZUA-528,77.42,2366,MAG,2982285
MarDB_GCF_003789045.1_ASM378904v1,99.56,4115,WGS,4567138
MAGsDB_DLCF01,96.48,2829,MAG,3325188
MarDB_Halococcus_hamelinensis_100A6_2,99.08,3516,WGS,3419075
MAGsDB_PBOA01,89.77,1812,MAG,1860284
MarDB_Pseudomonas_stutzeri_CCUG_16156,100.0,4220,WGS,4525590
MarDB_Micrococcales_bacterium_strain_DOLJORAL78_68_866,89.82,2664,MAG,2843304
MarDB_Devosia_submarina_strain_JCM_18935,98.7,3903,WGS,3980379
MarDB_Confluentimicrobium_lipolyticum_CECT_8621,99.6,3765,WGS,3877740
MarRef_Pseudomonas_xanthomarina_strain_LMG_23572,100.0,3987,WGS,4332290
MarDB_GCA_003353945.1_ASM335394v1,98.33,6444,MAG,6884860
MarDB_Prochlorococcus_sp_scB243_495D8,79.89,1573,SAG,1227854
MarDB_Jeotgalibacillus_marinus,99.75,4061,WGS,4099761
MAGsDB_NZHD01,90.65,3905,MAG,4558888
MarDB_Candidatus_Marithrix_sp_Canyon_246_5,89.27,2675,MAG,2544112
MarDB_Nonomuraea_maritima_strain_CGMCC_45681,99.42,7909,WGS,8267595
MarDB_GCA_003445735.1_ASM344573v1,83.81,1597,MAG,1589860
MarDB_Thermoplasmata_archaeon_M9B1D,81.55,2044,MAG,1692085
MarDB_Piscirickettsiaceae_bacterium_NZ-RLO,98.81,3159,WGS,3052668
MarDB_Prochlorococcus_sp_AG-388-D03,81.39,1646,SAG,1415793
MarDB_GCA_003385605.1_ASM338560v1,99.46,2491,MAG,2548510
MAGsDB_DCAX01,81.02,2201,MAG,2165445
MAGsDB_DDFO01,79.64,3177,MAG,3851203
MAGsDB_TARA_RED_MAG_00061,81.08,1753,MAG,1643467
MarDB_Salegentibacter_agarivorans_strain_DSM_23515,99.43,3790,WGS,4298572
MarRef_Carnobacterium_sp_17-4,98.91,2504,WGS,2685400
MAGsDB_TARA_PSW_MAG_00094,76.6,1574,MAG,1766006
MAGsDB_NYTK01,99.08,4184,MAG,4462782
MAGsDB_PAME01,100.0,2735,MAG,3038449
ProGenomes_927658_PRJNA63507,96.74,3340,WGS,4118070
MarDB_GCA_003602575.1_ASM360257v1,83.87,1662,MAG,1972716
MarDB_Vibrio_cyclitrophicus_FF75_2,99.87,4363,WGS,5090016
MarDB_GCA_003353785.1_ASM335378v1,91.57,3108,MAG,3065717
MarDB_Bacillus_firmus_DS1,99.39,5037,WGS,4971243
MarDB_Candidatus_Desulfopertinax_cowenii,97.61,1761,MAG,1778734
MAGsDB_DAPM01,79.91,842,MAG,733777
MAGsDB_PBBX01,79.41,1193,MAG,1258060
MarRef_Arthrospira_sp_TJSD092_MMP08865926,99.93,5828,WGS,6434389
MarDB_GCA_003645845.1_ASM364584v1,86.81,2658,MAG,2811570
ProGenomes_204536_PRJNA12529,99.39,1716,WGS,1640877
MarDB_Aquimarina_megaterium,99.62,5506,WGS,6206386
MarDB_Idiomarina_sp_MCCC_1A10513,98.32,2550,WGS,2703111
MarDB_Salinispora_pacifica_CNT150,99.06,4824,WGS,5038540
MarRef_Synechococcus_sp_CC9605,99.73,2892,WGS,2510660
MAGsDB_TARA_RED_MAG_00028,87.79,1241,MAG,1208415
ProGenomes_1187851_PRJNA165169,99.37,4470,WGS,4831432
MarDB_Marinobacter_aromaticivorans_strain_D15-8P,100.0,3798,WGS,4110204
MarDB_Phormidesmis_priestleyi_strain_ULC027bin1,90.3,4883,MAG,4775561
MAGsDB_NZHK01,87.91,2081,MAG,2229105
MAGsDB_PBLJ01,88.29,2884,MAG,3541024
MarRef_Halolamina_sediminis_strain_halo7,96.58,2886,WGS,2835859
MarRef_Prosthecochloris_sp_GSB1,99.45,2302,WGS,2468479
MarDB_Marinicella_sp_F2,98.55,3447,WGS,3989979
MarRef_Shewanella_frigidimarina_NCIMB_400,99.84,4124,WGS,4845258
MAGsDB_DACH01,98.69,2231,MAG,2090826
MarRef_Staphylothermus_hellenicus_DSM_12710,99.37,1646,WGS,1580348
MarDB_Stenotrophomonas_maltophilia_strain_EA1,100.0,4264,WGS,4746430
MarDB_GCA_003661105.1_ASM366110v1,84.59,2574,MAG,2253386
MAGsDB_DAOG01,96.22,1914,MAG,1808468
MarDB_Lysinibacillus_sinduriensis,99.34,3903,WGS,4017055
MAGsDB_NZJB01,75.83,2201,MAG,2357711
MarDB_Trichococcus_patagoniensis_strain_DSM_18806,98.91,2815,WGS,3102817
MarDB_Maribacter_antarcticus,99.67,4304,WGS,4853011
MarDB_Cellulophaga_sp_W5C,99.67,3353,WGS,3803581
MAGsDB_PAZH01,89.06,4813,MAG,4782217
MarRef_Bacillus_infantis_NRRL_B-14911,98.36,4813,WGS,4884714
MarDB_bacterium_BMS3Abin11,98.78,2579,MAG,2669039
MarDB_Chloroflexi_bacterium_strain_SZUA-290,77.89,2190,MAG,1942907
MAGsDB_DBBS01,99.66,3382,MAG,3618807
MarDB_Cyanobacteria_bacterium_UBA6050,98.67,4862,MAG,5400820
MarDB_Psychroflexus_salarius_strain_DSM_25661,99.11,2316,WGS,2534570
MarDB_Thalassobium_sp_strain_NORP79,86.93,3888,MAG,4150782
MarDB_GCA_003676145.1_ASM367614v1,98.9,4081,MAG,4551902
MarDB_Gordonia_lacunae_BS2,99.82,5199,WGS,5756417
MarDB_Marinomonas_gallaica_strain_CECT_5115,100.0,3554,WGS,3828798
MAGsDB_TARA_RED_MAG_00020,98.33,3990,MAG,5284871
MarDB_Candidatus_Thorarchaeota_archaeon_SMTZ1-83,90.19,3403,MAG,3263992
MAGsDB_DDEH01,89.89,1925,MAG,2172169
MarRef_Thiolapillus_brandeum_Hiromi_1,98.78,2976,WGS,3153638
ProGenomes_1382302_PRJNA214302,97.58,4773,WGS,4928472
MAGsDB_TARA_MED_MAG_00002,79.71,1429,MAG,1431420
MAGsDB_DELZ01,99.11,3182,MAG,3322949
MarDB_GCA_003513555.1_ASM351355v1,88.95,5603,MAG,6970346
MarDB_gamma_proteobacterium_symbiont_of_Ctena_orbiculata_strain_LUC_16_021_0_D,98.37,4106,MAG,4531345
MarDB_Altererythrobacter_sp_MH-B5,98.09,3475,WGS,3668442
MAGsDB_DKIE01,100.0,2709,MAG,2866989
MarDB_Vibrio_owensii_1,100.0,5268,WGS,5824958
MarDB_Rhodobacterales_bacterium_59_46_T64,98.83,3432,MAG,3567932
MAGsDB_DKPX01,81.86,2506,MAG,2379059
MarDB_Prochlorococcus_sp_AG-363-P08,85.14,1691,SAG,1583192
MarDB_Vibrio_fortis_Dalian14,100.0,4702,WGS,5286007
MarDB_Rhodovulum_sulfidophilum_strain_AB26,98.99,4228,WGS,4380747
MAGsDB_PAUJ01,94.3,2385,MAG,2545681
MarDB_Maribacter_thermophilus_HT7-2,99.67,3539,WGS,4050607
MarDB_Pelagibacteraceae_bacterium_AG-390-D18,86.05,1297,SAG,1218852
MarDB_Fusobacterium_sp_strain_clos_1_1,98.88,1859,WGS,2036955
MarDB_Microscilla_marina,98.79,7654,WGS,9771227
MAGsDB_PBSB01,76.86,1569,MAG,1743660
MarDB_Janibacter_indicus_CGMCC_1_12511,99.82,3325,WGS,3419539
MarDB_Paracoccus_sp_361,99.39,3949,WGS,4131610
MAGsDB_NZMG01,97.58,3028,MAG,3240799
MarDB_Ahrensia_sp_R2A130,99.46,3480,WGS,3731055
MarDB_Ruegeria_sp_ANG-S4,99.57,4389,WGS,4538200
MarDB_Desulfobacter_postgatei_strain_SZUA-453,89.03,2767,MAG,2791282
MarRef_Pseudodesulfovibrio_profundus_strain_500-1,100.0,4076,WGS,4217908
MarDB_Idiomarina_maritima_strain_CGMCC_17285,99.66,2277,WGS,2436492
MAGsDB_PBTW01,84.32,2508,MAG,2679977
MarDB_Vibrio_splendidus_strain_10N_261_55_E11,99.6,4728,WGS,5346161
MarDB_Pelagibacteraceae_bacterium_AG-439-F23,77.98,1141,SAG,1084689
MarDB_Alteromonas_confluentis_strain_KCTC_42603,99.64,4231,WGS,4864965
MarDB_Photobacterium_jeanii_strain_R-40508,99.39,4427,WGS,5047043
MarDB_Pseudoalteromonas_lipolytica_UCD-48B,100.0,4127,WGS,4586949
MarDB_Candidatus_Thioglobus_sp_REDSEA-S12_B1,87.58,1676,MAG,1606484
ProGenomes_365044_PRJNA13418,98.99,4101,WGS,4410291
MarDB_Clostridia_bacterium_strain_SZUA-378,76.65,2859,MAG,3053232
MarRef_Pseudomonas_plecoglossicida,100.0,4965,WGS,5525520
MarDB_Pelagibacteraceae_bacterium_AG-426-I15,89.16,1062,SAG,976624
MarDB_Desulfobulbus_japonicus,100.0,5009,WGS,5800572
MarDB_marine_gamma_proteobacterium_HTCC2148,97.71,3867,WGS,4326937
MarDB_Candidatus_Pelagibacter_ubique_SCGC_AAA795-F16,75.5,1072,SAG,945491
MarDB_Shewanella_morhuae_ATCC_BAA-1205,99.29,3601,WGS,4190369
MarDB_GCF_003752585.1_ASM375258v1,99.26,3848,WGS,4398449
MarDB_GCF_003605645.1_ASM360564v1,99.87,4758,WGS,5302048
MarRef_Pelobacter_carbinolicus_DSM_2380,99.35,3242,WGS,3665894
MarRef_Pyrococcus_sp_NA2,100.0,2005,WGS,1861321
MarDB_Celeribacter_halophilus_strain_DSM_26270,98.94,3763,WGS,3866915
ProGenomes_1479651_PRJNA242700,97.02,3649,WGS,3354763
MarRef_Idiomarina_sp_OT37-5b_MMP08606195,99.66,2648,WGS,2893517
MarDB_Lentisphaera_araneosa_HTCC2155,97.12,4965,WGS,6023181
MAGsDB_DBGJ01,85.84,1979,MAG,1849158
MarDB_Pelagibacteraceae_bacterium_AG-325-C10,78.29,1188,SAG,1087529
MarDB_Algibacter_pectinivorans_strain_DSM_25730,99.01,3144,WGS,3649359
MAGsDB_TARA_PSW_MAG_00075,80.27,1291,MAG,1416115
MarDB_Tenacibaculum_sp_MAR_2010_89,99.66,3690,WGS,4172913
MAGsDB_DJZM01,84.01,1542,MAG,1423064
MarDB_Candidatus_Marinamargulisbacteria_bacterium_SCGC_AAA071-K20,84.33,1739,SAG,1732259
MarDB_Prochlorococcus_sp_AG-355-O17,94.61,1878,SAG,1592611
MarDB_Marinobacter_daqiaonensis_strain_CGMCC_19167,100.0,3532,WGS,3933787
MAGsDB_DKQT01,97.8,1737,MAG,1866435
MarDB_GCF_003335545.1_ASM333554v1,99.68,4851,WGS,5076794
ProGenomes_1101191_PRJNA195835,99.84,4603,WGS,4978414
MarDB_Rheinheimera_pacifica_strain_DSM_17616,99.66,4118,WGS,4457866
MAGsDB_DLRK01,96.85,3831,MAG,5043582
MarDB_Prochlorococcus_sp_AG-442-B03,93.75,1741,SAG,1490193
MAGsDB_DBHQ01,84.86,3467,MAG,3513901
MarDB_Halomonas_zhanjiangensis,100.0,3662,WGS,4058778
MAGsDB_PBFG01,86.81,1386,MAG,1457926
MarDB_Mangrovimonas_sp_TPBH4,99.67,3622,WGS,4149243
MarDB_GCF_003634665.1_ASM363466v1,99.02,1871,WGS,1997501
MarDB_Candidatus_Cloacimonetes_bacterium_strain_NORP72,88.65,3730,MAG,4628403
MarRef_Sediminicola_sp_YIK13,99.67,3189,WGS,3569808
MarDB_GCA_003521845.1_ASM352184v1,90.66,2873,MAG,2946673
MarDB_GCF_003634015.1_ASM363401v1,99.4,2591,WGS,2778231
MarDB_Woodsholea_maritima,99.35,2901,WGS,3105948
